framework                        , test                                                         , time    
framework                        , test                                                         , time    
Alien Signals                    , createSignals                                                , 1.69    
Alien Signals                    , createComputations                                           , 50.89   
Alien Signals                    , updateSignals                                                , 280.51  
Alien Signals                    , avoidablePropagation                                         , 91.33   
Alien Signals                    , broadPropagation                                             , 77.13   
Alien Signals                    , deepPropagation                                              , 31.95   
Alien Signals                    , diamond                                                      , 78.85   
Alien Signals                    , mux                                                          , 75.51   
Alien Signals                    , repeatedObservers                                            , 18.85   
Alien Signals                    , triangle                                                     , 23.85   
Alien Signals                    , unstable                                                     , 19.16   
Alien Signals                    , molBench                                                     , 13.59   
Alien Signals                    , cellx1000                                                    , 4.42    
Alien Signals                    , cellx2500                                                    , 11.88   
Alien Signals                    , 2-10x5 - lazy80%                                             , 166.89  
Alien Signals                    , 6-10x10 - dyn25% - lazy80%                                   , 117.04  
Alien Signals                    , 4-1000x12 - dyn5%                                            , 306.01  
Alien Signals                    , 25-1000x5                                                    , 366.38  
Alien Signals                    , 3-5x500                                                      , 88.21   
Alien Signals                    , 6-100x15 - dyn50%                                            , 174.99  
framework                        , test                                                         , time    
Dalien Signals                   , createSignals                                                , 2.67    
Dalien Signals                   , createComputations                                           , 55.38   
Dalien Signals                   , updateSignals                                                , 294.71  
Dalien Signals                   , avoidablePropagation                                         , 118.08  
Dalien Signals                   , broadPropagation                                             , 99.80   
Dalien Signals                   , deepPropagation                                              , 42.14   
Dalien Signals                   , diamond                                                      , 100.58  
Dalien Signals                   , mux                                                          , 83.40   
Dalien Signals                   , repeatedObservers                                            , 20.53   
Dalien Signals                   , triangle                                                     , 30.22   
Dalien Signals                   , unstable                                                     , 23.15   
Dalien Signals                   , molBench                                                     , 13.55   
Dalien Signals                   , cellx1000                                                    , 4.00    
Dalien Signals                   , cellx2500                                                    , 11.88   
Dalien Signals                   , 2-10x5 - lazy80%                                             , 198.76  
Dalien Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 134.15  
Dalien Signals                   , 4-1000x12 - dyn5%                                            , 310.62  
Dalien Signals                   , 25-1000x5                                                    , 392.34  
Dalien Signals                   , 3-5x500                                                      , 91.21   
Dalien Signals                   , 6-100x15 - dyn50%                                            , 191.92  
framework                        , test                                                         , time    
Angular Signals                  , createSignals                                                , 2.74    
Angular Signals                  , createComputations                                           , 240.08  
Angular Signals                  , updateSignals                                                , 458.76  
Angular Signals                  , avoidablePropagation                                         , 161.15  
Angular Signals                  , broadPropagation                                             , 189.97  
