framework              , test                                                         , time    
alien-signals          , avoidablePropagation                                         , 169.87  
alien-signals          , broadPropagation                                             , 104.11  
alien-signals          , deepPropagation                                              , 47.06   
alien-signals          , diamond                                                      , 126.69  
alien-signals          , mux                                                          , 120.15  
alien-signals          , repeatedObservers                                            , 18.80   
alien-signals          , triangle                                                     , 37.94   
alien-signals          , unstable                                                     , 16.54   
alien-signals          , molBench                                                     , 265.80  
alien-signals          , createDataSignals                                            , 3.12    
alien-signals          , createComputations0to1                                       , 1.96    
alien-signals          , createComputations1to1                                       , 1.78    
alien-signals          , createComputations2to1                                       , 1.87    
alien-signals          , createComputations4to1                                       , 2.10    
alien-signals          , createComputations1000to1                                    , 1.61    
alien-signals          , createComputations1to2                                       , 2.48    
alien-signals          , createComputations1to4                                       , 2.17    
alien-signals          , createComputations1to8                                       , 1.42    
alien-signals          , createComputations1to1000                                    , 2.24    
alien-signals          , updateComputations1to1                                       , 2.62    
alien-signals          , updateComputations2to1                                       , 1.89    
alien-signals          , updateComputations4to1                                       , 1.40    
alien-signals          , updateComputations1000to1                                    , 1.05    
alien-signals          , updateComputations1to2                                       , 2.10    
alien-signals          , updateComputations1to4                                       , 1.47    
alien-signals          , updateComputations1to1000                                    , 1.14    
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 87.82   
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 89.93   
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 171.76  
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 300.91  
alien-signals          , 5x500 - 3 sources (deep)                                     , 84.57   
alien-signals-v3       , avoidablePropagation                                         , 171.61  
alien-signals-v3       , broadPropagation                                             , 126.70  
alien-signals-v3       , deepPropagation                                              , 54.03   
alien-signals-v3       , diamond                                                      , 140.83  
alien-signals-v3       , mux                                                          , 138.01  
alien-signals-v3       , repeatedObservers                                            , 22.51   
alien-signals-v3       , triangle                                                     , 43.53   
alien-signals-v3       , unstable                                                     , 23.99   
alien-signals-v3       , molBench                                                     , 263.71  
alien-signals-v3       , createDataSignals                                            , 2.97    
alien-signals-v3       , createComputations0to1                                       , 3.18    
alien-signals-v3       , createComputations1to1                                       , 4.68    
alien-signals-v3       , createComputations2to1                                       , 4.70    
alien-signals-v3       , createComputations4to1                                       , 3.97    
alien-signals-v3       , createComputations1000to1                                    , 1.97    
alien-signals-v3       , createComputations1to2                                       , 4.13    
alien-signals-v3       , createComputations1to4                                       , 3.89    
alien-signals-v3       , createComputations1to8                                       , 3.21    
alien-signals-v3       , createComputations1to1000                                    , 3.56    
alien-signals-v3       , updateComputations1to1                                       , 3.46    
alien-signals-v3       , updateComputations2to1                                       , 2.58    
alien-signals-v3       , updateComputations4to1                                       , 1.63    
alien-signals-v3       , updateComputations1000to1                                    , 1.20    
alien-signals-v3       , updateComputations1to2                                       , 2.26    
alien-signals-v3       , updateComputations1to4                                       , 1.62    
alien-signals-v3       , updateComputations1to1000                                    , 1.22    
alien-signals-v3       , 10x5 - 2 sources - read 20% (simple component)               , 116.91  
alien-signals-v3       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 117.26  
alien-signals-v3       , 1000x12 - 4 sources - dynamic (large web app)                , 202.66  
alien-signals-v3       , 1000x5 - 25 sources (wide dense)                             , 344.91  
alien-signals-v3       , 5x500 - 3 sources (deep)                                     , 89.54   
dalien-signals         , avoidablePropagation                                         , 201.16  
dalien-signals         , broadPropagation                                             , 152.56  
dalien-signals         , deepPropagation                                              , 64.13   
dalien-signals         , diamond                                                      , 164.51  
dalien-signals         , mux                                                          , 135.87  
dalien-signals         , repeatedObservers                                            , 32.02   
dalien-signals         , triangle                                                     , 54.60   
dalien-signals         , unstable                                                     , 35.72   
dalien-signals         , molBench                                                     , 265.13  
dalien-signals         , createDataSignals                                            , 15.69   
dalien-signals         , createComputations0to1                                       , 13.94   
dalien-signals         , createComputations1to1                                       , 26.81   
dalien-signals         , createComputations2to1                                       , 34.69   
dalien-signals         , createComputations4to1                                       , 28.17   
dalien-signals         , createComputations1000to1                                    , 32.75   
dalien-signals         , createComputations1to2                                       , 36.40   
dalien-signals         , createComputations1to4                                       , 35.84   
dalien-signals         , createComputations1to8                                       , 46.73   
dalien-signals         , createComputations1to1000                                    , 36.61   
dalien-signals         , updateComputations1to1                                       , 34.70   
dalien-signals         , updateComputations2to1                                       , 34.87   
dalien-signals         , updateComputations4to1                                       , 34.51   
dalien-signals         , updateComputations1000to1                                    , 34.51   
dalien-signals         , updateComputations1to2                                       , 36.25   
dalien-signals         , updateComputations1to4                                       , 34.40   
dalien-signals         , updateComputations1to1000                                    , 34.53   
dalien-signals         , 10x5 - 2 sources - read 20% (simple component)               , 146.84  
dalien-signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 134.84  
dalien-signals         , 1000x12 - 4 sources - dynamic (large web app)                , 230.89  
dalien-signals         , 1000x5 - 25 sources (wide dense)                             , 310.54  
dalien-signals         , 5x500 - 3 sources (deep)                                     , 117.54  
Preact Signals         , avoidablePropagation                                         , 187.67  
Preact Signals         , broadPropagation                                             , 142.26  
Preact Signals         , deepPropagation                                              , 58.07   
Preact Signals         , diamond                                                      , 173.07  
Preact Signals         , mux                                                          , 156.78  
Preact Signals         , repeatedObservers                                            , 32.57   
Preact Signals         , triangle                                                     , 51.61   
Preact Signals         , unstable                                                     , 31.23   
Preact Signals         , molBench                                                     , 274.50  
Preact Signals         , createDataSignals                                            , 37.69   
Preact Signals         , createComputations0to1                                       , 37.98   
Preact Signals         , createComputations1to1                                       , 39.32   
Preact Signals         , createComputations2to1                                       , 37.98   
Preact Signals         , createComputations4to1                                       , 37.92   
Preact Signals         , createComputations1000to1                                    , 37.11   
Preact Signals         , createComputations1to2                                       , 39.65   
Preact Signals         , createComputations1to4                                       , 39.43   
Preact Signals         , createComputations1to8                                       , 40.22   
Preact Signals         , createComputations1to1000                                    , 37.96   
Preact Signals         , updateComputations1to1                                       , 55.31   
Preact Signals         , updateComputations2to1                                       , 37.85   
Preact Signals         , updateComputations4to1                                       , 37.60   
Preact Signals         , updateComputations1000to1                                    , 36.54   
Preact Signals         , updateComputations1to2                                       , 39.12   
Preact Signals         , updateComputations1to4                                       , 36.71   
Preact Signals         , updateComputations1to1000                                    , 36.73   
Preact Signals         , 10x5 - 2 sources - read 20% (simple component)               , 166.77  
Preact Signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 135.50  
Preact Signals         , 1000x12 - 4 sources - dynamic (large web app)                , 1664.70 
Preact Signals         , 1000x5 - 25 sources (wide dense)                             , 1216.52 
Preact Signals         , 5x500 - 3 sources (deep)                                     , 117.93  
Svelte v5              , avoidablePropagation                                         , 298.05  
Svelte v5              , broadPropagation                                             , 241.92  
Svelte v5              , deepPropagation                                              , 105.96  
Svelte v5              , diamond                                                      , 239.96  
Svelte v5              , mux                                                          , 210.57  
Svelte v5              , repeatedObservers                                            , 45.48   
Svelte v5              , triangle                                                     , 70.71   
Svelte v5              , unstable                                                     , 53.98   
Svelte v5              , molBench                                                     , 294.44  
Svelte v5              , createDataSignals                                            , 38.54   
Svelte v5              , createComputations0to1                                       , 41.49   
Svelte v5              , createComputations1to1                                       , 37.88   
Svelte v5              , createComputations2to1                                       , 37.49   
Svelte v5              , createComputations4to1                                       , 37.19   
Svelte v5              , createComputations1000to1                                    , 37.19   
Svelte v5              , createComputations1to2                                       , 38.89   
Svelte v5              , createComputations1to4                                       , 36.95   
Svelte v5              , createComputations1to8                                       , 37.90   
Svelte v5              , createComputations1to1000                                    , 37.68   
Svelte v5              , updateComputations1to1                                       , 40.59   
Svelte v5              , updateComputations2to1                                       , 39.54   
Svelte v5              , updateComputations4to1                                       , 37.68   
Svelte v5              , updateComputations1000to1                                    , 35.43   
