framework                        , test                                                         , time    
MobX                             , deepPropagation                                              , 451.77  
MobX                             , diamond                                                      , 792.02  
MobX                             , mux                                                          , 538.25  
MobX                             , repeatedObservers                                            , 78.85   
MobX                             , triangle                                                     , 247.38  
MobX                             , unstable                                                     , 151.90  
MobX                             , molBench                                                     , 35.42   
MobX                             , cellx1000                                                    , 59.01   
MobX                             , cellx2500                                                    , 155.46  
MobX                             , 2-10x5 - lazy80%                                             , 1967.23 
MobX                             , 6-10x10 - dyn25% - lazy80%                                   , 993.79  
MobX                             , 4-1000x12 - dyn5%                                            , 1888.96 
MobX                             , 25-1000x5                                                    , 2375.62 
MobX                             , 3-5x500                                                      , 713.91  
MobX                             , 6-100x15 - dyn50%                                            , 1075.76 
Preact Signals                   , createSignals                                                , 0.65    
Preact Signals                   , createComputations                                           , 156.84  
Preact Signals                   , updateSignals                                                , 407.70  
Preact Signals                   , avoidablePropagation                                         , 178.04  
Preact Signals                   , broadPropagation                                             , 185.71  
Preact Signals                   , deepPropagation                                              , 73.34   
Preact Signals                   , diamond                                                      , 161.08  
Preact Signals                   , mux                                                          , 154.01  
Preact Signals                   , repeatedObservers                                            , 26.14   
Preact Signals                   , triangle                                                     , 54.08   
Preact Signals                   , unstable                                                     , 29.23   
Preact Signals                   , molBench                                                     , 31.86   
Preact Signals                   , cellx1000                                                    , 11.06   
Preact Signals                   , cellx2500                                                    , 26.82   
Preact Signals                   , 2-10x5 - lazy80%                                             , 349.45  
Preact Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 241.43  
Preact Signals                   , 4-1000x12 - dyn5%                                            , 523.73  
Preact Signals                   , 25-1000x5                                                    , 680.49  
Preact Signals                   , 3-5x500                                                      , 184.25  
Preact Signals                   , 6-100x15 - dyn50%                                            , 316.11  
Reactively                       , createSignals                                                , 2.34    
Reactively                       , createComputations                                           , 148.16  
Reactively                       , updateSignals                                                , 532.53  
Reactively                       , avoidablePropagation                                         , 216.22  
Reactively                       , broadPropagation                                             , 201.79  
Reactively                       , deepPropagation                                              , 77.93   
Reactively                       , diamond                                                      , 172.43  
Reactively                       , mux                                                          , 168.67  
Reactively                       , repeatedObservers                                            , 35.25   
Reactively                       , triangle                                                     , 50.25   
Reactively                       , unstable                                                     , 74.10   
Reactively                       , molBench                                                     , 32.08   
Reactively                       , cellx1000                                                    , 15.17   
Reactively                       , cellx2500                                                    , 35.00   
Reactively                       , 2-10x5 - lazy80%                                             , 307.22  
Reactively                       , 6-10x10 - dyn25% - lazy80%                                   , 177.08  
Reactively                       , 4-1000x12 - dyn5%                                            , 366.78  
Reactively                       , 25-1000x5                                                    , 396.93  
Reactively                       , 3-5x500                                                      , 160.72  
Reactively                       , 6-100x15 - dyn50%                                            , 213.80  
s-js                             , createSignals                                                , 14.42   
s-js                             , createComputations                                           , 116.80  
s-js                             , updateSignals                                                , 593.38  
s-js                             , avoidablePropagation                                         , 259.46  
s-js                             , broadPropagation                                             , 212.42  
s-js                             , deepPropagation                                              , 70.55   
s-js                             , diamond                                                      , 166.11  
s-js                             , mux                                                          , 208.39  
