framework                        , test                                                         , time    
Preact Signals                   , triangle                                                     , 20.72   
Preact Signals                   , unstable                                                     , 16.90   
Preact Signals                   , molBench                                                     , 9.41    
Preact Signals                   , cellx1000                                                    , 4.23    
Preact Signals                   , cellx2500                                                    , 12.27   
Preact Signals                   , 2-10x5 - lazy80%                                             , 197.26  
Preact Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 132.87  
Preact Signals                   , 4-1000x12 - dyn5%                                            , 450.19  
Preact Signals                   , 25-1000x5                                                    , 466.71  
Preact Signals                   , 3-5x500                                                      , 92.05   
Preact Signals                   , 6-100x15 - dyn50%                                            , 191.48  
Reactively                       , createSignals                                                , 2.61    
Reactively                       , createComputations                                           , 19.63   
Reactively                       , updateSignals                                                , 204.53  
Reactively                       , avoidablePropagation                                         , 112.17  
Reactively                       , broadPropagation                                             , 143.74  
Reactively                       , deepPropagation                                              , 62.91   
Reactively                       , diamond                                                      , 52.81   
Reactively                       , mux                                                          , 83.08   
Reactively                       , repeatedObservers                                            , 13.77   
Reactively                       , triangle                                                     , 24.76   
Reactively                       , unstable                                                     , 51.88   
Reactively                       , molBench                                                     , 9.57    
Reactively                       , cellx1000                                                    , 7.41    
Reactively                       , cellx2500                                                    , 22.56   
Reactively                       , 2-10x5 - lazy80%                                             , 187.73  
Reactively                       , 6-10x10 - dyn25% - lazy80%                                   , 88.56   
Reactively                       , 4-1000x12 - dyn5%                                            , 208.92  
Reactively                       , 25-1000x5                                                    , 203.52  
Reactively                       , 3-5x500                                                      , 64.87   
Reactively                       , 6-100x15 - dyn50%                                            , 124.96  
s-js                             , createSignals                                                , 3.69    
s-js                             , createComputations                                           , 35.97   
s-js                             , updateSignals                                                , 233.20  
s-js                             , avoidablePropagation                                         , 100.39  
s-js                             , broadPropagation                                             , 82.55   
s-js                             , deepPropagation                                              , 29.19   
s-js                             , diamond                                                      , 62.06   
s-js                             , mux                                                          , 86.91   
s-js                             , repeatedObservers                                            , 18.93   
s-js                             , triangle                                                     , 25.76   
s-js                             , unstable                                                     , 30.86   
s-js                             , molBench                                                     , 14.73   
s-js                             , cellx1000                                                    , 5.20    
