framework                        , test                                                         , time    
Alien Signals                    , createSignals                                                , 11.03   
Alien Signals                    , createComputations                                           , 160.98  
Alien Signals                    , updateSignals                                                , 572.40  
Alien Signals                    , avoidablePropagation                                         , 100.94  
Alien Signals                    , broadPropagation                                             , 204.15  
Alien Signals                    , deepPropagation                                              , 64.48   
Alien Signals                    , diamond                                                      , 135.63  
Alien Signals                    , mux                                                          , 117.25  
Alien Signals                    , repeatedObservers                                            , 39.41   
Alien Signals                    , triangle                                                     , 43.78   
Alien Signals                    , unstable                                                     , 45.87   
Alien Signals                    , molBench                                                     , 18.93   
Alien Signals                    , cellx1000                                                    , 9.38    
Alien Signals                    , cellx2500                                                    , 29.36   
Alien Signals                    , 2-10x5 - lazy80%                                             , 380.34  
Alien Signals                    , 6-10x10 - dyn25% - lazy80%                                   , 258.80  
Alien Signals                    , 4-1000x12 - dyn5%                                            , 656.09  
Alien Signals                    , 25-1000x5                                                    , 847.13  
Alien Signals                    , 3-5x500                                                      , 166.79  
Alien Signals                    , 6-100x15 - dyn50%                                            , 404.03  
Dalien Signals                   , createSignals                                                , 16.37   
Dalien Signals                   , createComputations                                           , 106.33  
Dalien Signals                   , updateSignals                                                , 436.21  
Dalien Signals                   , avoidablePropagation                                         , 93.53   
Dalien Signals                   , broadPropagation                                             , 158.72  
Dalien Signals                   , deepPropagation                                              , 59.35   
Dalien Signals                   , diamond                                                      , 114.85  
Dalien Signals                   , mux                                                          , 81.95   
Dalien Signals                   , repeatedObservers                                            , 16.63   
Dalien Signals                   , triangle                                                     , 40.78   
Dalien Signals                   , unstable                                                     , 53.13   
Dalien Signals                   , molBench                                                     , 19.05   
Dalien Signals                   , cellx1000                                                    , 9.42    
Dalien Signals                   , cellx2500                                                    , 18.93   
Dalien Signals                   , 2-10x5 - lazy80%                                             , 321.59  
Dalien Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 201.99  
Dalien Signals                   , 4-1000x12 - dyn5%                                            , 417.09  
Dalien Signals                   , 25-1000x5                                                    , 470.23  
Dalien Signals                   , 3-5x500                                                      , 130.57  
Dalien Signals                   , 6-100x15 - dyn50%                                            , 305.80  
Angular Signals                  , createSignals                                                , 52.92   
Angular Signals                  , createComputations                                           , 558.83  
Angular Signals                  , updateSignals                                                , 984.60  
Angular Signals                  , avoidablePropagation                                         , 171.86  
Angular Signals                  , broadPropagation                                             , 302.93  
Angular Signals                  , deepPropagation                                              , 91.06   
Angular Signals                  , diamond                                                      , 179.67  
Angular Signals                  , mux                                                          , 200.24  
Angular Signals                  , repeatedObservers                                            , 30.34   
Angular Signals                  , triangle                                                     , 65.81   
Angular Signals                  , unstable                                                     , 65.13   
Angular Signals                  , molBench                                                     , 18.68   
Angular Signals                  , cellx1000                                                    , 18.07   
Angular Signals                  , cellx2500                                                    , 58.06   
Angular Signals                  , 2-10x5 - lazy80%                                             , 570.30  
Angular Signals                  , 6-10x10 - dyn25% - lazy80%                                   , 356.24  
Angular Signals                  , 4-1000x12 - dyn5%                                            , 758.15  
