framework                        , test                                                         , time    
Alien Signals                    , createSignals                                                , 11.27   
Alien Signals                    , createComputations                                           , 172.26  
Alien Signals                    , updateSignals                                                , 523.48  
Alien Signals                    , avoidablePropagation                                         , 194.83  
Alien Signals                    , broadPropagation                                             , 168.93  
Alien Signals                    , deepPropagation                                              , 67.73   
Alien Signals                    , diamond                                                      , 175.83  
Alien Signals                    , mux                                                          , 151.62  
Alien Signals                    , repeatedObservers                                            , 37.10   
Alien Signals                    , triangle                                                     , 55.08   
Alien Signals                    , unstable                                                     , 41.59   
Alien Signals                    , molBench                                                     , 29.06   
Alien Signals                    , cellx1000                                                    , 9.67    
Alien Signals                    , cellx2500                                                    , 23.46   
Alien Signals                    , 2-10x5 - lazy80%                                             , 355.38  
Alien Signals                    , 6-10x10 - dyn25% - lazy80%                                   , 245.43  
Alien Signals                    , 4-1000x12 - dyn5%                                            , 608.08  
Alien Signals                    , 25-1000x5                                                    , 875.80  
Alien Signals                    , 3-5x500                                                      , 178.33  
Alien Signals                    , 6-100x15 - dyn50%                                            , 338.39  
Dalien Signals                   , createSignals                                                , 28.42   
Dalien Signals                   , createComputations                                           , 110.96  
Dalien Signals                   , updateSignals                                                , 463.23  
Dalien Signals                   , avoidablePropagation                                         , 218.46  
Dalien Signals                   , broadPropagation                                             , 165.06  
Dalien Signals                   , deepPropagation                                              , 70.41   
Dalien Signals                   , diamond                                                      , 197.35  
Dalien Signals                   , mux                                                          , 154.77  
Dalien Signals                   , repeatedObservers                                            , 38.45   
Dalien Signals                   , triangle                                                     , 59.34   
Dalien Signals                   , unstable                                                     , 45.81   
Dalien Signals                   , molBench                                                     , 28.83   
Dalien Signals                   , cellx1000                                                    , 8.57    
Dalien Signals                   , cellx2500                                                    , 20.23   
Dalien Signals                   , 2-10x5 - lazy80%                                             , 392.99  
Dalien Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 233.60  
Dalien Signals                   , 4-1000x12 - dyn5%                                            , 603.46  
Dalien Signals                   , 25-1000x5                                                    , 620.06  
Dalien Signals                   , 3-5x500                                                      , 164.22  
Dalien Signals                   , 6-100x15 - dyn50%                                            , 286.94  
Dalien Malloc Free               , createSignals                                                , 13.18   
Dalien Malloc Free               , createComputations                                           , 88.55   
Dalien Malloc Free               , updateSignals                                                , 476.87  
Dalien Malloc Free               , avoidablePropagation                                         , 219.75  
Dalien Malloc Free               , broadPropagation                                             , 160.01  
Dalien Malloc Free               , deepPropagation                                              , 67.98   
Dalien Malloc Free               , diamond                                                      , 197.46  
Dalien Malloc Free               , mux                                                          , 150.06  
Dalien Malloc Free               , repeatedObservers                                            , 37.39   
Dalien Malloc Free               , triangle                                                     , 59.71   
Dalien Malloc Free               , unstable                                                     , 43.13   
Dalien Malloc Free               , molBench                                                     , 28.91   
Dalien Malloc Free               , cellx1000                                                    , 8.29    
Dalien Malloc Free               , cellx2500                                                    , 20.02   
Dalien Malloc Free               , 2-10x5 - lazy80%                                             , 397.60  
Dalien Malloc Free               , 6-10x10 - dyn25% - lazy80%                                   , 229.65  
Dalien Malloc Free               , 4-1000x12 - dyn5%                                            , 674.13  
Dalien Malloc Free               , 25-1000x5                                                    , 707.80  
Dalien Malloc Free               , 3-5x500                                                      , 210.75  
Dalien Malloc Free               , 6-100x15 - dyn50%                                            , 345.99  
Angular Signals                  , createSignals                                                , 52.07   
Angular Signals                  , createComputations                                           , 639.50  
Angular Signals                  , updateSignals                                                , 849.02  
Angular Signals                  , avoidablePropagation                                         , 400.32  
Angular Signals                  , broadPropagation                                             , 448.92  
Angular Signals                  , deepPropagation                                              , 147.52  
Angular Signals                  , diamond                                                      , 315.36  
Angular Signals                  , mux                                                          , 275.18  
Angular Signals                  , repeatedObservers                                            , 46.78   
Angular Signals                  , triangle                                                     , 102.39  
Angular Signals                  , unstable                                                     , 92.64   
Angular Signals                  , molBench                                                     , 30.04   
Angular Signals                  , cellx1000                                                    , 21.36   
Angular Signals                  , cellx2500                                                    , 71.58   
Angular Signals                  , 2-10x5 - lazy80%                                             , 844.38  
Angular Signals                  , 6-10x10 - dyn25% - lazy80%                                   , 469.54  
Angular Signals                  , 4-1000x12 - dyn5%                                            , 1598.88 
Angular Signals                  , 25-1000x5                                                    , 1659.79 
Angular Signals                  , 3-5x500                                                      , 356.11  
Angular Signals                  , 6-100x15 - dyn50%                                            , 676.28  
Compostate                       , createSignals                                                , 25.09   
Compostate                       , createComputations                                           , 592.74  
Compostate                       , updateSignals                                                , 1806.86 
Compostate                       , avoidablePropagation                                         , 385.82  
Compostate                       , broadPropagation                                             , 1119.48 
Compostate                       , deepPropagation                                              , 420.77  
Compostate                       , diamond                                                      , 727.34  
Compostate                       , mux                                                          , 298.58  
Compostate                       , repeatedObservers                                            , 102.28  
Compostate                       , triangle                                                     , 263.84  
Compostate                       , unstable                                                     , 150.56  
Compostate                       , molBench                                                     , 44.06   
Compostate                       , cellx1000                                                    , 90.92   
Compostate                       , cellx2500                                                    , 189.27  
Compostate                       , 2-10x5 - lazy80%                                             , 2443.72 
Compostate                       , 6-10x10 - dyn25% - lazy80%                                   , 1633.79 
Compostate                       , 4-1000x12 - dyn5%                                            , 2860.89 
Compostate                       , 25-1000x5                                                    , 3988.44 
Compostate                       , 3-5x500                                                      , 1741.63 
Compostate                       , 6-100x15 - dyn50%                                            , 1909.93 
MobX                             , createSignals                                                , 14.72   
MobX                             , createComputations                                           , 1058.47 
MobX                             , updateSignals                                                , 3587.67 
MobX                             , avoidablePropagation                                         , 811.01  
MobX                             , broadPropagation                                             , 1520.63 
MobX                             , deepPropagation                                              , 504.11  
MobX                             , diamond                                                      , 845.38  
MobX                             , mux                                                          , 614.97  
MobX                             , repeatedObservers                                            , 81.36   
MobX                             , triangle                                                     , 271.12  
MobX                             , unstable                                                     , 148.02  
MobX                             , molBench                                                     , 32.41   
MobX                             , cellx1000                                                    , 49.17   
MobX                             , cellx2500                                                    , 143.88  
