framework                        , test                                                         , time    
MobX                             , deepPropagation                                              , 369.71  
MobX                             , diamond                                                      , 674.73  
MobX                             , mux                                                          , 395.27  
MobX                             , repeatedObservers                                            , 66.87   
MobX                             , triangle                                                     , 212.90  
MobX                             , unstable                                                     , 124.69  
MobX                             , molBench                                                     , 23.13   
MobX                             , cellx1000                                                    , 48.56   
MobX                             , cellx2500                                                    , 158.29  
MobX                             , 2-10x5 - lazy80%                                             , 1588.34 
MobX                             , 6-10x10 - dyn25% - lazy80%                                   , 904.25  
MobX                             , 4-1000x12 - dyn5%                                            , 1518.06 
MobX                             , 25-1000x5                                                    , 2072.13 
MobX                             , 3-5x500                                                      , 597.56  
MobX                             , 6-100x15 - dyn50%                                            , 1070.40 
Preact Signals                   , createSignals                                                , 0.92    
Preact Signals                   , createComputations                                           , 113.69  
Preact Signals                   , updateSignals                                                , 554.04  
Preact Signals                   , avoidablePropagation                                         , 84.47   
Preact Signals                   , broadPropagation                                             , 198.93  
Preact Signals                   , deepPropagation                                              , 76.71   
Preact Signals                   , diamond                                                      , 119.71  
Preact Signals                   , mux                                                          , 101.94  
Preact Signals                   , repeatedObservers                                            , 19.14   
Preact Signals                   , triangle                                                     , 51.93   
Preact Signals                   , unstable                                                     , 35.25   
Preact Signals                   , molBench                                                     , 19.52   
Preact Signals                   , cellx1000                                                    , 9.54    
Preact Signals                   , cellx2500                                                    , 22.58   
Preact Signals                   , 2-10x5 - lazy80%                                             , 420.07  
Preact Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 285.40  
Preact Signals                   , 4-1000x12 - dyn5%                                            , 648.00  
Preact Signals                   , 25-1000x5                                                    , 841.64  
Preact Signals                   , 3-5x500                                                      , 170.43  
Preact Signals                   , 6-100x15 - dyn50%                                            , 398.09  
Reactively                       , createSignals                                                , 2.80    
Reactively                       , createComputations                                           , 115.61  
Reactively                       , updateSignals                                                , 326.71  
Reactively                       , avoidablePropagation                                         , 215.21  
Reactively                       , broadPropagation                                             , 296.99  
Reactively                       , deepPropagation                                              , 126.14  
Reactively                       , diamond                                                      , 114.70  
Reactively                       , mux                                                          , 173.79  
Reactively                       , repeatedObservers                                            , 26.63   
Reactively                       , triangle                                                     , 50.55   
Reactively                       , unstable                                                     , 98.75   
Reactively                       , molBench                                                     , 20.11   
Reactively                       , cellx1000                                                    , 20.04   
Reactively                       , cellx2500                                                    , 48.61   
Reactively                       , 2-10x5 - lazy80%                                             , 362.79  
